	PDB	resolution	method	organism	date	affinity	delta_g	affinity_method	temperature	authors	One_digit_id
7676	6pci	4.12	ELECTRON MICROSCOPY	EBOLA VIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS	06/17/19					Ward, A.B., Murin, C.D., Alkutkar, T.	6pci_1
7677	6pci	4.12	ELECTRON MICROSCOPY	EBOLA VIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS	06/17/19					Ward, A.B., Murin, C.D., Alkutkar, T.	6pci_0
7678	6pci	4.12	ELECTRON MICROSCOPY	EBOLA VIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS	06/17/19					Ward, A.B., Murin, C.D., Alkutkar, T.	6pci_2
7679	6pci	4.12	ELECTRON MICROSCOPY	EBOLA VIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS	06/17/19					Ward, A.B., Murin, C.D., Alkutkar, T.	6pci_3
7680	6pci	4.12	ELECTRON MICROSCOPY	EBOLA VIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS	06/17/19					Ward, A.B., Murin, C.D., Alkutkar, T.	6pci_4
7681	6pci	4.12	ELECTRON MICROSCOPY	EBOLA VIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS	06/17/19					Ward, A.B., Murin, C.D., Alkutkar, T.	6pci_5
7682	5hgg	1.97	X-RAY DIFFRACTION	VICUGNA PACOS; HOMO SAPIENS	01/08/16					Yung, K.W.Y., Kromann-Hansen, T., Andreasen, P.A., Ngo, J.C.K.	5hgg_0
7683	4dw2	2.97	X-RAY DIFFRACTION	HOMO SAPIENS; MUS MUSCULUS	02/24/12					Jiang, L., Botkjaer, K.A., Andersen, L.M., Yuan, C., Andreasen, P.A., Huang, M.	4dw2_0
7684	4g80	3.58	X-RAY DIFFRACTION	HOMO SAPIENS; CIONA INTESTINALIS	07/20/12					Li, Q.	4g80_0
7685	5w4l	2.92	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	06/12/17					Tolbert, W.D., Gohain, N., Pazgier, M.	5w4l_0
7686	7sx6	3.4	X-RAY DIFFRACTION	Homo sapiens; Human immunodeficiency virus 1	11/30/22					Tolbert, W.D., Pazgier, M.	7sx6_1
7687	5w4l	2.92	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	06/12/17					Tolbert, W.D., Gohain, N., Pazgier, M.	5w4l_1
7688	7sx7	2.15	X-RAY DIFFRACTION	Homo; Homo sapiens; Human immunodeficiency virus 1	11/30/22					Tolbert, W.D., Pazgier, M.	7sx7_1
7689	5w4l	2.92	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	06/12/17					Tolbert, W.D., Gohain, N., Pazgier, M.	5w4l_2
7690	5w4l	2.92	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	06/12/17					Tolbert, W.D., Gohain, N., Pazgier, M.	5w4l_3
7691	4h8w	1.85	X-RAY DIFFRACTION	HOMO SAPIENS	09/24/12					Tolbert, W.D., Acharya, P., Kwong, P.D., Pazgier, M.	4h8w_0
7692	6ofi	3.85	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	03/29/19					Tolbert, W.D., Yan, F., Van, V., Pazgier, M.	6ofi_0
7693	7n8q	2.9	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; MACACA MULATTA; SYNTHETIC CONSTRUCT	06/15/21					Tolbert, W.D., Pazgier, M.	7n8q_0
7694	4rfo	3.2	X-RAY DIFFRACTION	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1; SYNTHETIC CONSTRUCT	09/26/14					Tolbert, W.D., Gohain, N., Pazgier, M.	4rfo_0
7695	5wb9	2.4	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	06/28/17					Gohain, N., Tolbert, W., Pazgier, M.	5wb9_0
7696	6oz2	2.55	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	05/15/19					Tolbert, W.D., Pazgier, M.	6oz2_0
7697	4rfn	3.21	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; MACACA MULATTA; SYNTHETIC CONSTRUCT	09/26/14					Gohain, N., Tolbert, W.D., Pazgier, M.	4rfn_0
7698	6bck	2.7	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	10/20/17					Tolbert, W.D., Gohain, N., Pazgier, M.	6bck_0
7699	4jpw	2.904	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	03/19/13					Acharya, P., Luongo, T., Zhou, T., Kwong, P.D.	4jpw_0
7700	6mfp	3.0	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	09/11/18					Tolbert, W.D., Young, B., Pazgier, M.	6mfp_0
7701	6mg7	2.91	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	09/13/18					Van, V., Tolbert, W.D., Pazger, M.	6mg7_0
7702	6k5d	3.203	X-RAY DIFFRACTION	ESCHERICHIA COLI; MUS MUSCULUS	05/28/19					Park, K., Lim, H.H.	6k5d_1
7703	6adb	2.692	X-RAY DIFFRACTION	ESCHERICHIA COLI (STRAIN K12); MUS MUSCULUS	07/31/18					Lim, H.-H., Park, K.	6adb_0
7704	5u68	3.083	X-RAY DIFFRACTION	HUMAN RESPIRATORY SYNCYTIAL VIRUS A (STRAIN A2); HOMO SAPIENS	12/07/16					Wen, X., Jardetzky, T.S.	5u68_1
7705	6vca	3.73	X-RAY DIFFRACTION	HOMO SAPIENS	12/20/19					Zhou, Y.F., Lord, D.M.	6vca_0
7706	6vc9	2.25	X-RAY DIFFRACTION	HOMO SAPIENS	12/20/19					Zhou, Y.F., Lord, D.M.	6vc9_0
7707	6muf	2.91	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	10/23/18					Lai, Y.-T., Kwong, P.D.	6muf_0
7708	6mug	2.954	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	10/23/18					Lai, Y.-T., Kwong, P.D.	6mug_0
7709	7nmu	2.5	X-RAY DIFFRACTION	HOMO SAPIENS; LAMA GLAMA	02/23/21					Slater, A., Jonas, E., Watson, S.P.	7nmu_0
7710	5cez	3.031	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	07/08/15					Wilson, I.A., Garces, F.	5cez_0
7711	8dp1	3.46	ELECTRON MICROSCOPY	Human immunodeficiency virus 1; Macaca mulatta	01/08/09					Gobeil, S., Acharya, P.	8dp1_1
7712	6mu8	2.993	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	10/22/18					Lai, Y.-T., Kwong, P.D.	6mu8_1
